9.010472499998286
2.8970114000258036
         317214 function calls (312951 primitive calls) in 15.372 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      298    0.010    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
    467/5    0.010    0.000    3.385    0.677 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      948    0.010    0.000    0.010    0.000 {built-in method builtins.min}
     1000    0.010    0.000    0.010    0.000 {built-in method select.poll}
     1000    0.010    0.000    0.010    0.000 selectors.py:199(__enter__)
     1000    0.010    0.000    0.010    0.000 {method 'rstrip' of 'bytes' objects}
      376    0.010    0.000    0.016    0.000 socket.py:76(<lambda>)
     1005    0.009    0.000    0.009    0.000 {built-in method posix.WIFSIGNALED}
      610    0.009    0.000    0.098    0.000 <frozen importlib._bootstrap>:376(cached)
      471    0.009    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
     1005    0.009    0.000    0.009    0.000 {built-in method posix.WEXITSTATUS}
     1005    0.009    0.000    0.009    0.000 {built-in method posix.WIFEXITED}
      644    0.009    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      162    0.009    0.000    0.014    0.000 sre_compile.py:249(_compile_charset)
      415    0.009    0.000    0.013    0.000 enum.py:28(_is_sunder)
       47    0.009    0.000    0.009    0.000 {built-in method posix.listdir}
       60    0.008    0.000    0.043    0.001 sre_compile.py:536(_compile_info)
      415    0.008    0.000    0.012    0.000 enum.py:20(_is_dunder)
      894    0.008    0.000    0.008    0.000 {built-in method from_bytes}
      210    0.008    0.000    0.033    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      167    0.008    0.000    0.662    0.004 re.py:287(_compile)
      364    0.008    0.000    0.020    0.000 <frozen importlib._bootstrap>:151(__exit__)
      345    0.007    0.000    0.012    0.000 typing.py:643(_is_dunder)
      345    0.007    0.000    0.019    0.000 typing.py:759(__setattr__)
      770    0.007    0.000    0.007    0.000 {built-in method builtins.chr}
       14    0.007    0.001    0.008    0.001 {built-in method _imp.create_dynamic}
      262    0.007    0.000    0.011    0.000 {method 'extend' of 'list' objects}
      321    0.007    0.000    0.843    0.003 <frozen importlib._bootstrap_external>:1334(find_spec)
      298    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      298    0.006    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      321    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:800(find_spec)
        4    0.006    0.001    0.006    0.002 {method 'read' of '_io.TextIOWrapper' objects}
      318    0.006    0.000    0.009    0.000 sre_parse.py:81(groups)
       60    0.006    0.000    0.642    0.011 sre_compile.py:759(compile)
        1    0.006    0.006    0.016    0.016 binary.py:1(<module>)
       15    0.006    0.000    0.146    0.010 enum.py:381(_create_)
