multi-process
fuzzer-multi-pls-bro
         1675627 function calls (1390308 primitive calls) in 52.588 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
       38    0.001    0.000    0.014    0.000 log.py:628(getLogger)
      131    0.001    0.000    0.001    0.000 {built-in method builtins.locals}
        2    0.001    0.001    0.002    0.001 __init__.py:1360(_clear_cache)
       30    0.001    0.000    2.115    0.071 <frozen importlib._bootstrap>:1002(_gcd_import)
        1    0.001    0.001    0.033    0.033 _common.py:5(<module>)
       67    0.001    0.000    0.002    0.000 __init__.py:214(_acquireLock)
       35    0.001    0.000    0.002    0.000 os.py:798(fsencode)
        7    0.001    0.000    0.002    0.000 _parser.py:315(_convert)
        2    0.001    0.001    0.131    0.065 enums.py:9(<module>)
       60    0.001    0.000    0.558    0.009 re.py:248(compile)
        1    0.001    0.001    0.002    0.002 _compat_pickle.py:9(<module>)
      120    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
       69    0.001    0.000    0.002    0.000 __init__.py:16(<lambda>)
        1    0.001    0.001    0.077    0.077 _pslinux.py:1529(Process)
        2    0.001    0.001    0.001    0.001 {method 'isatty' of '_io.TextIOWrapper' objects}
      100    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       55    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       49    0.001    0.000    0.014    0.000 __init__.py:2003(getLogger)
        3    0.001    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
      121    0.001    0.000    0.001    0.000 sre_compile.py:453(_get_iscased)
        1    0.001    0.001    0.035    0.035 typing.py:1(<module>)
        1    0.001    0.001    0.002    0.002 process.py:40(<dictcomp>)
       30    0.001    0.000    2.116    0.071 __init__.py:109(import_module)
       90    0.001    0.000    0.001    0.000 formatstring_mutator.py:8(mutate)
       23    0.001    0.000    0.002    0.000 posixpath.py:71(join)
       26    0.001    0.000    0.001    0.000 __init__.py:158(_validator)
       47    0.001    0.000    0.001    0.000 __init__.py:189(_checkLevel)
        1    0.001    0.001    0.013    0.013 encoder.py:1(<module>)
        1    0.001    0.001    0.003    0.003 _psposix.py:60(<listcomp>)
      110    0.001    0.000    0.001    0.000 {built-in method builtins.globals}
        1    0.001    0.001    0.010    0.010 pickle.py:197(<listcomp>)
       46    0.001    0.000    0.001    0.000 six.py:105(__init__)
       31    0.001    0.000    0.008    0.000 __init__.py:1418(LocalContext)
        1    0.001    0.001    0.007    0.007 subprocess.py:1550(_execute_child)
        3    0.001    0.000    0.004    0.001 threading.py:834(start)
       14    0.001    0.000    0.004    0.000 unix_termcap.py:11(get)
        1    0.001    0.001    0.028    0.028 packing.py:2(<module>)
       47    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        1    0.001    0.001    0.020    0.020 hashes.py:1(<module>)
       45    0.001    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.001    0.001    0.031    0.031 pdb.py:3(<module>)
        6    0.001    0.000    0.008    0.001 synchronize.py:50(__init__)
        1    0.001    0.001    0.013    0.013 registers.py:1(<module>)
       60    0.001    0.000    0.001    0.000 misc.py:435(<listcomp>)
        8    0.001    0.000    0.003    0.000 __init__.py:284(__init__)
       30    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
       96    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
       87    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
        1    0.001    0.001    0.001    0.001 __init__.py:1287(<listcomp>)
       12    0.001    0.000    0.002    0.000 textwrap.py:414(dedent)
       56    0.001    0.000    0.001    0.000 os.py:750(decode)
        1    0.001    0.001    0.117    0.117 adb.py:1(<module>)
        4    0.001    0.000    0.001    0.000 process.py:80(__init__)
       68    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
       60    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       87    0.001    0.000    0.001    0.000 abc.py:7(abstractmethod)
       68    0.001    0.000    0.001    0.000 enum.py:654(name)
        1    0.001    0.001    0.002    0.002 configparser.py:1317(__init__)
       10    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
       38    0.001    0.000    0.001    0.000 __init__.py:23(<genexpr>)
       97    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
