multi-process
multiprocess: 41.77098410000326
         908427 function calls (763618 primitive calls) in 44.810 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      207    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
       30    0.002    0.000    0.004    0.000 sre_parse.py:267(getuntil)
       70    0.002    0.000    0.003    0.000 config.py:7(__init__)
       65    0.002    0.000    0.006    0.000 enum.py:473(_get_mixins_)
      122    0.002    0.000    0.003    0.000 ssl.py:144(<lambda>)
       53    0.002    0.000    0.003    0.000 typing.py:172(_collect_type_vars)
      120    0.002    0.000    0.003    0.000 sre_compile.py:595(isstring)
      122    0.002    0.000    0.003    0.000 ssl.py:129(<lambda>)
      122    0.002    0.000    0.003    0.000 ssl.py:149(<lambda>)
        1    0.002    0.002    0.009    0.009 encoder.py:2(<module>)
       99    0.002    0.000    0.017    0.000 sre_parse.py:96(closegroup)
      172    0.002    0.000    0.003    0.000 sre_parse.py:168(__setitem__)
        1    0.002    0.002    0.033    0.033 tokenize.py:1(<module>)
       23    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
       88    0.002    0.000    0.002    0.000 six.py:141(__init__)
       96    0.002    0.000    0.002    0.000 py3compat.py:42(bytes2str)
      100    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
        3    0.002    0.001    0.004    0.001 tokenize.py:83(_all_string_prefixes)
       16    0.002    0.000    0.003    0.000 {method 'sort' of 'list' objects}
       47    0.002    0.000    0.025    0.001 <frozen importlib._bootstrap_external>:1252(_path_hooks)
       69    0.002    0.000    0.003    0.000 os.py:746(encode)
       55    0.002    0.000    0.006    0.000 abc.py:84(__new__)
       47    0.002    0.000    0.007    0.000 <frozen zipimport>:63(__init__)
       69    0.002    0.000    0.005    0.000 os.py:668(__getitem__)
       25    0.002    0.000    0.006    0.000 enum.py:119(__prepare__)
       60    0.002    0.000    0.003    0.000 sre_parse.py:224(__init__)
      183    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        1    0.001    0.001    0.111    0.111 _pslinux.py:5(<module>)
      134    0.001    0.000    0.004    0.000 enum.py:557(__new__)
       13    0.001    0.000    0.217    0.017 enum.py:434(_convert_)
        1    0.001    0.001    0.003    0.003 quoprimime.py:5(<module>)
      165    0.001    0.000    0.001    0.000 enum.py:457(<lambda>)
       38    0.001    0.000    0.013    0.000 log.py:628(getLogger)
      143    0.001    0.000    0.001    0.000 sre_compile.py:65(_combine_flags)
       47    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
       30    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
       39    0.001    0.000    0.003    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.001    0.001    0.003    0.003 misc.py:325(register_sizes)
        1    0.001    0.001    0.060    0.060 inspect.py:1(<module>)
    26/25    0.001    0.000    0.237    0.009 <frozen importlib._bootstrap>:406(spec_from_loader)
       67    0.001    0.000    0.002    0.000 __init__.py:223(_releaseLock)
        1    0.001    0.001    0.003    0.003 _compat_pickle.py:9(<module>)
        1    0.001    0.001    0.015    0.015 registers.py:1(<module>)
       25    0.001    0.000    0.004    0.000 enum.py:505(_find_new_)
      132    0.001    0.000    0.001    0.000 {method 'items' of 'mappingproxy' objects}
      121    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
        1    0.001    0.001    0.002    0.002 token.py:74(<dictcomp>)
